"course_code","course_name","course_level","faculty","school","units","duration","class_hours","incompatible","prerequisite","recommended_prerequisite","assessment_methods"
"CSSE3200","Software Engineering Studio: Design, Implement and Test","Undergraduate","Engineering, Architecture & Information Technology","Elec Engineering, Comp Science","2","One Semester","Lecture 2 Hours/ Week; Studio 2 Hours/ Week; Applied Class 1 Hour/ Week","DECO2800","CSSE2002",NA,"Group project work, individual portfolio, quiz"
"CYBR3000","Information Security","Undergraduate","Engineering, Architecture & Information Technology","Elec Engineering, Comp Science","2","One Semester","Lecture 2 Hours/ Week; Applied Class 2 Hours/ Week","COMS3000, COMS7003, CYBR7002","CSSE2310 or CSSE7231",NA,"Assignments; Assignments; examination"
"DECO1400","Introduction to Web Design","Undergraduate","Engineering, Architecture & Information Technology","Elec Engineering, Comp Science","2","One Semester","Lecture 1 Hour/ Week; Tutorial 1 Hour/ Week; Practical 2 Hours/ Week","DECO7140 or IENV7961 or MMDS1400 or MMDS7961",NA,NA,"Practical, Assignments and Project"
"DECO2500","Human-Computer Interaction","Undergraduate","Engineering, Architecture & Information Technology","Elec Engineering, Comp Science","2","One Semester","Lecture 2 Hours/ Week; Studio 2 Hours/ Week","COMP2506 or COMP3501 or COMP7904 or DECO7250","DECO1400 or CSSE1001 or ENGG1001",NA,"Group/individual assessment and examination "
"DECO3800","Design Computing Studio 3 - Proposal","Undergraduate","Engineering, Architecture & Information Technology","Elec Engineering, Comp Science","2","One Semester","Studio 4 Hours/",NA,"DECO2500 and (DECO1800 or DECO2800 or DECO2840 or DECO2850 or CSSE3200)",NA,"Projects, Presentations, Reports"
"DECO3801","Design Computing Studio 3 - Build","Undergraduate","Engineering, Architecture & Information Technology","Elec Engineering, Comp Science","2","One Semester","Studio 4.00 Hours/ Week","CSSE4801, DECO7381","CSSE2002 or COMP2140",NA,"Projects, Presentations, Reports"
"ENGG4800","Project Management","Undergraduate","Engineering, Architecture & Information Technology","Elec Engineering, Comp Science","2","One Semester","Lecture 2 Hours/ Week; Contact 2 Hours/ Week; Practical 1 Hour/ Week","ENGG7800 or MECH3600",NA,NA,"Assignments, major project, exams"
"INFS1200","Introduction to Information Systems","Undergraduate","Engineering, Architecture & Information Technology","Elec Engineering, Comp Science","2","One Semester","Lecture 2 Hours/ Week; Applied Class 2 Hours/ Week","INFS7900 or MGTS3203 or MGTS7206 or BISM2207 or BISM3203 or BISM7206 or INFS7901",NA,NA,"Assignments; weekly tasks; oral assessment; final examination"
"INFS2200","Relational Database Systems","Undergraduate","Engineering, Architecture & Information Technology","Elec Engineering, Comp Science","2","One Semester","Lecture 2 Hours/ Week; Applied Class 1 Hour/ Week; Practical 1 Hour/ Week","BSIS7206 or COMM7605 or INFS7903 or INFS7901","INFS1200",NA,"Examination & assignments."
"METR3100","Control System Implementation","Undergraduate","Engineering, Architecture & Information Technology","Mech & Mine Engineering School","2","One Semester","Lecture 2 Hours/ Week; Tutorial 1 Hour/ Week; Practical 2 Hours/ Ad Hoc; Contact 1 Hour/ Week; The schedule for the practical will be advised.",NA,NA,"ENGG1300","Practicals with Prework, a Design Project Report, End of Semester Examination"
